//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
//,[PK] Category Label,Main label,Main label string,Sub label,Sub label string,Name Label string,,,Pattern Sequence,Sequence Grouping Label,Series,Pattern Full Label,[FK] Sequence Term: Category Label,Sequence Terms,Sequence Term Minimum Density (0-1),Sequence Term Maximum Density (0-1),Sequence Term Minimum Terms,Sequence Term Maximum Terms,Duplicates Allowed,,,,,Notes
,Booker7Plots,Overcoming the Villain,overcomevillain,With recovery,normal_recovery,Booker7Plots_overcomevillain_normal_recovery,,,1,Booker7Plots_overcomevillain_normal_recovery_01,2,Booker7Plots_overcomevillain_normal_recovery_01_2_StruggleVillain1,StruggleVillain1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,With recovery,normal_recovery,Booker7Plots_overcomevillain_normal_recovery,,,1,Booker7Plots_overcomevillain_normal_recovery_01,3,Booker7Plots_overcomevillain_normal_recovery_01_3_Recovery1,Recovery1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,With recovery,normal_recovery,Booker7Plots_overcomevillain_normal_recovery,,,1,Booker7Plots_overcomevillain_normal_recovery_01,4,Booker7Plots_overcomevillain_normal_recovery_01_4_VictoryAgainstVillainy1,VictoryAgainstVillainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,With recovery,normal_recovery,Booker7Plots_overcomevillain_normal_recovery,,,1,Booker7Plots_overcomevillain_normal_recovery_01,5,Booker7Plots_overcomevillain_normal_recovery_01_5_HeroReward1,HeroReward1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,,normal,Booker7Plots_overcomevillain_normal,,,1,Booker7Plots_overcomevillain_normal_01,1,Booker7Plots_overcomevillain_normal_01_1_Villainy1,Villainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,,normal,Booker7Plots_overcomevillain_normal,,,1,Booker7Plots_overcomevillain_normal_01,2,Booker7Plots_overcomevillain_normal_01_2_StruggleVillain1,StruggleVillain1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,,normal,Booker7Plots_overcomevillain_normal,,,1,Booker7Plots_overcomevillain_normal_01,3,Booker7Plots_overcomevillain_normal_01_3_Villainy1,Villainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,,normal,Booker7Plots_overcomevillain_normal,,,1,Booker7Plots_overcomevillain_normal_01,4,Booker7Plots_overcomevillain_normal_01_4_StruggleVillain1,StruggleVillain1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,,normal,Booker7Plots_overcomevillain_normal,,,1,Booker7Plots_overcomevillain_normal_01,5,Booker7Plots_overcomevillain_normal_01_5_VictoryAgainstVillainy1,VictoryAgainstVillainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,,normal,Booker7Plots_overcomevillain_normal,,,1,Booker7Plots_overcomevillain_normal_01,6,Booker7Plots_overcomevillain_normal_01_6_HeroReward1,HeroReward1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Rags to Riches,ragstoriches,,normal,Booker7Plots_ragstoriches_normal,,,1,Booker7Plots_ragstoriches_normal_01,1,Booker7Plots_ragstoriches_normal_01_1_Lack1,Lack1,6,,,1,1,TRUE,,,,,
,Booker7Plots,Rags to Riches,ragstoriches,,normal,Booker7Plots_ragstoriches_normal,,,1,Booker7Plots_ragstoriches_normal_01,2,Booker7Plots_ragstoriches_normal_01_2_Departure1,Departure1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Rags to Riches,ragstoriches,,normal,Booker7Plots_ragstoriches_normal,,,1,Booker7Plots_ragstoriches_normal_01,3,Booker7Plots_ragstoriches_normal_01_3_Departure2,Departure2,2,,,1,1,TRUE,,,,,
,Booker7Plots,Rags to Riches,ragstoriches,,normal,Booker7Plots_ragstoriches_normal,,,1,Booker7Plots_ragstoriches_normal_01,4,Booker7Plots_ragstoriches_normal_01_4_Transfiguration1,Transfiguration1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Rags to Riches,ragstoriches,,normal,Booker7Plots_ragstoriches_normal,,,1,Booker7Plots_ragstoriches_normal_01,5,Booker7Plots_ragstoriches_normal_01_5_HeroReward1,HeroReward1,4,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,1,Booker7Plots_thequest_normal_01,1,Booker7Plots_thequest_normal_01_1_DifficultTaskArises1,DifficultTaskArises1,5,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,1,Booker7Plots_thequest_normal_01,2,Booker7Plots_thequest_normal_01_2_QuestAssigned1,QuestAssigned1,3,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,1,Booker7Plots_thequest_normal_01,3,Booker7Plots_thequest_normal_01_3_Departure1,Departure1,2,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,1,Booker7Plots_thequest_normal_01,4,Booker7Plots_thequest_normal_01_4_Departure2,Departure2,2,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,1,Booker7Plots_thequest_normal_01,5,Booker7Plots_thequest_normal_01_5_ConfrontGuardian1,ConfrontGuardian1,4,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,1,Booker7Plots_thequest_normal_01,6,Booker7Plots_thequest_normal_01_6_QuestResolution1,QuestResolution1,2,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,2,Booker7Plots_thequest_normal_02,1,Booker7Plots_thequest_normal_02_1_DifficultTaskArises1,DifficultTaskArises1,5,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,2,Booker7Plots_thequest_normal_02,2,Booker7Plots_thequest_normal_02_2_QuestAssigned1,QuestAssigned1,3,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,2,Booker7Plots_thequest_normal_02,3,Booker7Plots_thequest_normal_02_3_Departure1,Departure1,2,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,2,Booker7Plots_thequest_normal_02,4,Booker7Plots_thequest_normal_02_4_Departure2,Departure2,2,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,2,Booker7Plots_thequest_normal_02,5,Booker7Plots_thequest_normal_02_5_ConfrontGuardian1,ConfrontGuardian1,4,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,,normal,Booker7Plots_thequest_normal,,,2,Booker7Plots_thequest_normal_02,6,Booker7Plots_thequest_normal_02_6_QuestResolution1,QuestResolution1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Voyage and Return,voyageandreturn,,normal,Booker7Plots_voyageandreturn_normal,,,1,Booker7Plots_voyageandreturn_normal_01,1,Booker7Plots_voyageandreturn_normal_01_1_Departure1,Departure1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Voyage and Return,voyageandreturn,,normal,Booker7Plots_voyageandreturn_normal,,,1,Booker7Plots_voyageandreturn_normal_01,2,Booker7Plots_voyageandreturn_normal_01_2_Departure2,Departure2,2,,,1,1,TRUE,,,,,
,Booker7Plots,Voyage and Return,voyageandreturn,,normal,Booker7Plots_voyageandreturn_normal,,,1,Booker7Plots_voyageandreturn_normal_01,3,Booker7Plots_voyageandreturn_normal_01_3_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Voyage and Return,voyageandreturn,,normal,Booker7Plots_voyageandreturn_normal,,,1,Booker7Plots_voyageandreturn_normal_01,4,Booker7Plots_voyageandreturn_normal_01_4_Helper1,Helper1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Voyage and Return,voyageandreturn,,normal,Booker7Plots_voyageandreturn_normal,,,1,Booker7Plots_voyageandreturn_normal_01,5,Booker7Plots_voyageandreturn_normal_01_5_Departure3,Departure3,2,,,1,1,TRUE,,,,,
,Booker7Plots,Voyage and Return,voyageandreturn,,normal,Booker7Plots_voyageandreturn_normal,,,1,Booker7Plots_voyageandreturn_normal_01,6,Booker7Plots_voyageandreturn_normal_01_6_ReturnJourney1,ReturnJourney1,2,,,1,1,TRUE,,,,,
//,Booker7Plots,Comedy,comedy,,normal,Booker7Plots_comedy_normal,,,1,Booker7Plots_comedy_normal_01,1,Booker7Plots_comedy_normal_01_1_Lack1,Lack1,6,,,1,1,TRUE,,,,,
//,Booker7Plots,Comedy,comedy,,normal,Booker7Plots_comedy_normal,,,1,Booker7Plots_comedy_normal_01,2,Booker7Plots_comedy_normal_01_2_,,0,,,1,1,TRUE,,,,,
//,Booker7Plots,Comedy,comedy,,normal,Booker7Plots_comedy_normal,,,1,Booker7Plots_comedy_normal_01,3,Booker7Plots_comedy_normal_01_3_,,0,,,1,1,TRUE,,,,,
//,Booker7Plots,Comedy,comedy,,normal,Booker7Plots_comedy_normal,,,1,Booker7Plots_comedy_normal_01,4,Booker7Plots_comedy_normal_01_4_,,0,,,1,1,TRUE,,,,,
//,Booker7Plots,Comedy,comedy,,normal,Booker7Plots_comedy_normal,,,1,Booker7Plots_comedy_normal_01,5,Booker7Plots_comedy_normal_01_5_,,0,,,1,1,TRUE,,,,,
//,Booker7Plots,Comedy,comedy,,normal,Booker7Plots_comedy_normal,,,1,Booker7Plots_comedy_normal_01,6,Booker7Plots_comedy_normal_01_6_,,0,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Villainy variant,normal_villainy,Booker7Plots_tragedy_normal_villainy,,,1,Booker7Plots_tragedy_normal_villainy_01,1,Booker7Plots_tragedy_normal_villainy_01_1_Villainy1,Villainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Villainy variant,normal_villainy,Booker7Plots_tragedy_normal_villainy,,,1,Booker7Plots_tragedy_normal_villainy_01,2,Booker7Plots_tragedy_normal_villainy_01_2_Villainy2,Villainy2,5,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Villainy variant,normal_villainy,Booker7Plots_tragedy_normal_villainy,,,1,Booker7Plots_tragedy_normal_villainy_01,3,Booker7Plots_tragedy_normal_villainy_01_3_StruggleVillain1,StruggleVillain1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Villainy variant,normal_villainy,Booker7Plots_tragedy_normal_villainy,,,1,Booker7Plots_tragedy_normal_villainy_01,4,Booker7Plots_tragedy_normal_villainy_01_4_StruggleVillain1,StruggleVillain1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Villainy variant,normal_villainy,Booker7Plots_tragedy_normal_villainy,,,1,Booker7Plots_tragedy_normal_villainy_01,5,Booker7Plots_tragedy_normal_villainy_01_5_VictoryAgainstVillainy2,VictoryAgainstVillainy2,3,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Villainy variant,normal_villainy,Booker7Plots_tragedy_normal_villainy,,,1,Booker7Plots_tragedy_normal_villainy_01,6,Booker7Plots_tragedy_normal_villainy_01_6_HeroLost1,HeroLost1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,1,Booker7Plots_tragedy_normal_monster_01,1,Booker7Plots_tragedy_normal_monster_01_1_Monsters1,Monsters1,6,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,1,Booker7Plots_tragedy_normal_monster_01,2,Booker7Plots_tragedy_normal_monster_01_2_Monsters2,Monsters2,6,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,1,Booker7Plots_tragedy_normal_monster_01,3,Booker7Plots_tragedy_normal_monster_01_3_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,1,Booker7Plots_tragedy_normal_monster_01,4,Booker7Plots_tragedy_normal_monster_01_4_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,1,Booker7Plots_tragedy_normal_monster_01,5,Booker7Plots_tragedy_normal_monster_01_5_VictoryAgainstMonster1,VictoryAgainstMonster1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,1,Booker7Plots_tragedy_normal_monster_01,6,Booker7Plots_tragedy_normal_monster_01_6_HeroLost1,HeroLost1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,2,Booker7Plots_tragedy_normal_monster_02,1,Booker7Plots_tragedy_normal_monster_02_1_Monsters1,Monsters1,6,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,2,Booker7Plots_tragedy_normal_monster_02,2,Booker7Plots_tragedy_normal_monster_02_2_Monsters2,Monsters2,6,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,2,Booker7Plots_tragedy_normal_monster_02,3,Booker7Plots_tragedy_normal_monster_02_3_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,2,Booker7Plots_tragedy_normal_monster_02,4,Booker7Plots_tragedy_normal_monster_02_4_Helper1,Helper1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,2,Booker7Plots_tragedy_normal_monster_02,5,Booker7Plots_tragedy_normal_monster_02_5_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,2,Booker7Plots_tragedy_normal_monster_02,6,Booker7Plots_tragedy_normal_monster_02_6_VictoryAgainstMonster1,VictoryAgainstMonster1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Tragedy,tragedy,Monster variant,normal_monster,Booker7Plots_tragedy_normal_monster,,,2,Booker7Plots_tragedy_normal_monster_02,7,Booker7Plots_tragedy_normal_monster_02_7_HelperLost1,HelperLost1,2,,,1,1,TRUE,,,,,
//,Booker7Plots,Rebirth,rebirth,Villain variant,normal_villain,Booker7Plots_rebirth_normal_villain,,,1,Booker7Plots_rebirth_normal_villain_01,1,Booker7Plots_rebirth_normal_villain_01_1_Villainy1,Villainy1,5,,,1,1,TRUE,,,,,
//,Booker7Plots,Rebirth,rebirth,Villain variant,normal_villain,Booker7Plots_rebirth_normal_villain,,,1,Booker7Plots_rebirth_normal_villain_01,2,Booker7Plots_rebirth_normal_villain_01_2_Villainy2,Villainy2,5,,,1,1,TRUE,,,,,
//,Booker7Plots,Rebirth,rebirth,Villain variant,normal_villain,Booker7Plots_rebirth_normal_villain,,,1,Booker7Plots_rebirth_normal_villain_01,3,Booker7Plots_rebirth_normal_villain_01_3_Departure1,Departure1,2,,,1,1,TRUE,,,,,
//,Booker7Plots,Rebirth,rebirth,Villain variant,normal_villain,Booker7Plots_rebirth_normal_villain,,,1,Booker7Plots_rebirth_normal_villain_01,4,Booker7Plots_rebirth_normal_villain_01_4_StruggleVillainHelper1,StruggleVillainHelper1,3,,,1,1,TRUE,,,,,
//,Booker7Plots,Rebirth,rebirth,Villain variant,normal_villain,Booker7Plots_rebirth_normal_villain,,,1,Booker7Plots_rebirth_normal_villain_01,5,Booker7Plots_rebirth_normal_villain_01_5_VillainRepentance1,VillainRepentance1,0,,,1,1,TRUE,,,,,
//,Booker7Plots,Rebirth,rebirth,Villain variant,normal_villain,Booker7Plots_rebirth_normal_villain,,,1,Booker7Plots_rebirth_normal_villain_01,6,Booker7Plots_rebirth_normal_villain_01_6_VillainReward1,VillainReward1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Test,test,,,Booker7Plots_test,,,1,Booker7Plots_test_01,1,Booker7Plots_test_01_1_Villainy1,Villainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Test,test,,,Booker7Plots_test,,,1,Booker7Plots_test_01,2,Booker7Plots_test_01_2_Departure1,Departure1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Test,test,,,Booker7Plots_test,,,1,Booker7Plots_test_01,3,Booker7Plots_test_01_3_StruggleVillain1,StruggleVillain1,3,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,Refinery,refinery,Booker7Plots_thequest_refinery,,,1,Booker7Plots_thequest_refinery_01,1,Booker7Plots_thequest_refinery_01_1_DifficultTaskArises1,DifficultTaskArises1,5,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,Refinery,refinery,Booker7Plots_thequest_refinery,,,1,Booker7Plots_thequest_refinery_01,2,Booker7Plots_thequest_refinery_01_2_Departure1,Departure1,2,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,Refinery,refinery,Booker7Plots_thequest_refinery,,,1,Booker7Plots_thequest_refinery_01,3,Booker7Plots_thequest_refinery_01_3_QuestAssigned1,QuestAssigned1,3,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,Refinery,refinery,Booker7Plots_thequest_refinery,,,1,Booker7Plots_thequest_refinery_01,4,Booker7Plots_thequest_refinery_01_4_Monsters2,Monsters2,6,,,1,1,TRUE,,,,,
,Booker7Plots,The Quest,thequest,Refinery,refinery,Booker7Plots_thequest_refinery,,,1,Booker7Plots_thequest_refinery_01,5,Booker7Plots_thequest_refinery_01_5_QuestResolution1,QuestResolution1,2,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Villain,overcomevillain,Refinery,refinery,Booker7Plots_overcomevillain_refinery,,,1,Booker7Plots_overcomevillain_refinery_01,1,Booker7Plots_overcomevillain_refinery_01_1_Villainy1,Villainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Villain,overcomevillain,Refinery,refinery,Booker7Plots_overcomevillain_refinery,,,1,Booker7Plots_overcomevillain_refinery_01,2,Booker7Plots_overcomevillain_refinery_01_2_VictoryAgainstVillainy1,VictoryAgainstVillainy1,5,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Villain,overcomevillain,Refinery,refinery,Booker7Plots_overcomevillain_refinery,,,1,Booker7Plots_overcomevillain_refinery_01,3,Booker7Plots_overcomevillain_refinery_01_3_Recovery1,Recovery1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Villain,overcomevillain,Refinery,refinery,Booker7Plots_overcomevillain_refinery,,,1,Booker7Plots_overcomevillain_refinery_01,4,Booker7Plots_overcomevillain_refinery_01_4_HeroReward1,HeroReward1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Monster,overcomemonster,Refinery,refinery,Booker7Plots_overcomemonster_refinery,,,1,Booker7Plots_overcomemonster_refinery_01,1,Booker7Plots_overcomemonster_refinery_01_1_Monsters1,Monsters1,6,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Monster,overcomemonster,Refinery,refinery,Booker7Plots_overcomemonster_refinery,,,1,Booker7Plots_overcomemonster_refinery_01,2,Booker7Plots_overcomemonster_refinery_01_2_Villainy2,Villainy2,5,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Monster,overcomemonster,Refinery,refinery,Booker7Plots_overcomemonster_refinery,,,1,Booker7Plots_overcomemonster_refinery_01,3,Booker7Plots_overcomemonster_refinery_01_3_VictoryAgainstMonster1,VictoryAgainstMonster1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Monster,overcomemonster,Refinery,refinery,Booker7Plots_overcomemonster_refinery,,,1,Booker7Plots_overcomemonster_refinery_01,4,Booker7Plots_overcomemonster_refinery_01_4_StruggleVillainHelper1,StruggleVillainHelper1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcome the Monster,overcomemonster,Refinery,refinery,Booker7Plots_overcomemonster_refinery,,,1,Booker7Plots_overcomemonster_refinery_01,5,Booker7Plots_overcomemonster_refinery_01_5_HeroReward1,HeroReward1,4,,,1,1,TRUE,,,,,
